event,request,time
event,request,time
ts,output/more/large/stream3.ts,1876.882
ts,output/more/large/stream4.ts,1877.311
ts,output/more/large/stream5.ts,1877.66
ts,output/more/large/stream6.ts,1880.742
ts,output/more/large/stream7.ts,1883.287
ts,output/more/large/stream8.ts,1887.09
ts,output/more/large/stream9.ts,1892.541
ts,output/more/large/stream20.ts,1892.62
ts,output/more/large/stream60.ts,1892.782
ts,output/more/large/stream64.ts,1892.788
ts,output/more/large/stream65.ts,1892.791
ts,output/more/large/stream66.ts,1892.794
ts,output/more/large/stream67.ts,1892.827
ts,output/more/large/stream68.ts,1892.861
ts,output/more/large/stream71.ts,1892.94
ts,output/more/large/stream72.ts,1894.177
ts,output/more/large/stream73.ts,1895.058
ts,output/more/large/stream74.ts,1895.662
ts,output/more/large/stream75.ts,1896.561
ts,output/more/large/stream76.ts,1898.585
ts,output/more/large/stream77.ts,1898.817
ts,output/more/large/stream78.ts,1899.096
ts,output/more/large/stream79.ts,1902.552
ts,output/more/large/stream80.ts,1910.541
ts,output/more/large/stream81.ts,1915.241
ts,output/more/large/stream115.ts,1917.399
ts,output/more/large/stream141.ts,1917.628
ts,output/more/large/stream142.ts,1918.668
ts,output/more/large/stream143.ts,1919
ts,output/more/large/stream144.ts,1919.824
ts,output/more/large/stream145.ts,1920.07
ts,output/more/large/stream146.ts,1920.483
ts,output/more/large/stream147.ts,1920.964
ts,output/more/large/stream148.ts,1921.445
ts,output/more/large/stream149.ts,1922.418
ts,output/more/large/stream150.ts,1927.941
ts,output/more/large/stream181.ts,1929.918
ts,output/more/large/stream214.ts,1930.208
ts,output/more/large/stream215.ts,1930.214
ts,output/more/large/stream217.ts,1930.219
ts,output/more/large/stream218.ts,1930.446
ts,output/more/large/stream219.ts,1930.486
ts,output/more/large/stream220.ts,1930.522
ts,output/more/large/stream221.ts,1931.513
ts,output/more/large/stream222.ts,1932.944
ts,output/more/large/stream223.ts,1934.166
ts,output/more/large/stream224.ts,1935.241
ts,output/more/large/stream225.ts,1936.016
ts,output/more/large/stream226.ts,1936.412
ts,output/more/large/stream227.ts,1936.993
ts,output/more/large/stream228.ts,1939.524
home,.,1940.776
home,.,1953.765
home,.,1964.952
m3u8,output/more/fake/stream.m3u8,1966.654
m3u8,output/more/fake/stream.m3u8,1966.852
ts,output/more/fake/stream0.ts,1966.852
ts,output/more/fake/stream1.ts,1969.467
m3u8,output/more/fake/stream.m3u8,1969.898
ts,output/more/fake/stream2.ts,1970.474
m3u8,output/more/fake/stream.m3u8,1972.072
ts,output/more/fake/stream3.ts,1972.263
m3u8,output/more/fake/stream.m3u8,1973.161
m3u8,output/more/fake/stream.m3u8,1976.791
m3u8,output/more/fake/stream.m3u8,1978.86
m3u8,output/more/fake/stream.m3u8,1980.277
m3u8,output/more/fake/stream.m3u8,1982.343
ts,output/more/fake/stream4.ts,1982.555
m3u8,output/more/fake/stream.m3u8,1983.912
m3u8,output/more/fake/stream.m3u8,1987.865
m3u8,output/more/fake/stream.m3u8,1989.662
m3u8,output/more/fake/stream.m3u8,1991.845
ts,output/more/fake/stream5.ts,1992.036
m3u8,output/more/fake/stream.m3u8,1993.716
m3u8,output/more/fake/stream.m3u8,1997.682
ts,output/more/fake/stream6.ts,1997.875
m3u8,output/more/fake/stream.m3u8,1999.217
m3u8,output/more/fake/stream.m3u8,2003.082
ts,output/more/fake/stream7.ts,2003.276
home,.,2003.875
m3u8,output/more/fake/stream.m3u8,2006.078
