event,request,time
event,request,time
ts,output/more/large/stream218.ts,863.491
ts,output/more/large/stream240.ts,864.016
ts,output/more/large/stream241.ts,865.271
ts,output/more/large/stream234.ts,865.525
ts,output/more/large/stream242.ts,866.226
ts,output/more/large/stream235.ts,868.177
ts,output/more/large/stream243.ts,868.458
ts,output/more/large/stream236.ts,870.224
ts,output/more/large/stream244.ts,870.247
ts,output/more/large/stream245.ts,871.463
ts,output/more/large/stream237.ts,871.673
ts,output/more/large/stream246.ts,872.316
ts,output/more/large/stream238.ts,872.445
ts,output/more/large/stream247.ts,873.002
ts,output/more/large/stream239.ts,873.133
ts,output/more/large/stream240.ts,873.686
ts,output/more/large/stream241.ts,874.31
ts,output/more/large/stream254.ts,875.113
ts,output/more/large/stream253.ts,875.113
ts,output/more/large/stream248.ts,875.427
ts,output/more/large/stream254.ts,876.41
ts,output/more/large/stream249.ts,876.915
ts,output/more/large/stream255.ts,877.364
ts,output/more/large/stream256.ts,878.019
ts,output/more/large/stream257.ts,878.562
ts,output/more/large/stream258.ts,879.908
ts,output/more/large/stream250.ts,881.709
ts,output/more/large/stream251.ts,889.417
ts,output/more/large/stream252.ts,890.236
ts,output/more/large/stream253.ts,890.659
ts,output/more/large/stream254.ts,891.08
ts,output/more/large/stream255.ts,891.668
ts,output/more/large/stream256.ts,892.003
ts,output/more/large/stream257.ts,896.526
ts,output/more/large/stream258.ts,898.492
ts,output/more/large/stream232.ts,952.7
ts,output/more/large/stream233.ts,953.881
ts,output/more/large/stream234.ts,954.561
ts,output/more/large/stream235.ts,957.041
ts,output/more/large/stream236.ts,958.659
ts,output/more/large/stream237.ts,959.598
ts,output/more/large/stream238.ts,960.376
home,.,1246.676
home,.,1248.712
m3u8,output/more/fake/stream.m3u8,1248.848
m3u8,output/more/fake/stream.m3u8,1249.102
ts,output/more/fake/stream0.ts,1249.239
m3u8,output/more/fake/stream.m3u8,1250.488
m3u8,output/more/fake/stream.m3u8,1250.7
ts,output/more/fake/stream3.ts,1250.83
m3u8,output/more/fake/stream.m3u8,1253.035
ts,output/more/fake/stream1.ts,1253.064
ts,output/more/fake/stream2.ts,1254.147
ts,output/more/fake/stream4.ts,1254.582
m3u8,output/more/fake/stream.m3u8,1254.63
ts,output/more/fake/stream3.ts,1255.718
m3u8,output/more/fake/stream.m3u8,1256.052
m3u8,output/more/fake/stream.m3u8,1257.775
ts,output/more/fake/stream5.ts,1259.102
ts,output/more/fake/stream4.ts,1259.295
m3u8,output/more/fake/stream.m3u8,1260.512
m3u8,output/more/fake/stream.m3u8,1262.128
ts,output/more/fake/stream5.ts,1262.268
ts,output/more/fake/stream6.ts,1262.592
m3u8,output/more/fake/stream.m3u8,1265.545
ts,output/more/fake/stream7.ts,1265.953
ts,output/more/fake/stream6.ts,1266.709
ts,output/more/fake/stream7.ts,1269.065
m3u8,output/more/fake/stream.m3u8,1270.65
m3u8,output/more/fake/stream.m3u8,1274.061
m3u8,output/more/fake/stream.m3u8,1275.162
ts,output/more/fake/stream8.ts,1275.349
ts,output/more/fake/stream8.ts,1279.008
home,.,1279.376
ts,output/more/fake/stream8.ts,1280.622
m3u8,output/more/fake/stream.m3u8,1283.675
ts,output/more/fake/stream9.ts,1283.904
m3u8,output/more/fake/stream.m3u8,1285.189
m3u8,output/more/fake/stream.m3u8,1285.713
ts,output/more/fake/stream7.ts,1285.852
ts,output/more/fake/stream8.ts,1289.062
m3u8,output/more/fake/stream.m3u8,1290.294
m3u8,output/more/fake/stream.m3u8,1292.213
ts,output/more/fake/stream9.ts,1292.4
ts,output/more/fake/stream10.ts,1292.4
m3u8,output/more/fake/stream.m3u8,1293.726
ts,output/more/fake/stream10.ts,1295.9
m3u8,output/more/fake/stream.m3u8,1297.399
ts,output/more/fake/stream11.ts,1297.644
m3u8,output/more/fake/stream.m3u8,1298.558
ts,output/more/fake/stream12.ts,1298.804
m3u8,output/more/fake/stream.m3u8,1298.888
m3u8,output/more/fake/stream.m3u8,1299.192
ts,output/more/fake/stream11.ts,1299.333
m3u8,output/more/fake/stream.m3u8,1299.659
m3u8,output/more/fake/stream.m3u8,1300.238
ts,output/more/fake/stream12.ts,1300.594
ts,output/more/fake/stream13.ts,1300.712
m3u8,output/more/fake/stream.m3u8,1300.712
m3u8,output/more/fake/stream.m3u8,1300.785
m3u8,output/more/fake/stream.m3u8,1301.32
m3u8,output/more/fake/stream.m3u8,1302.105
m3u8,output/more/fake/stream.m3u8,1302.111
ts,output/more/fake/stream13.ts,1302.512
ts,output/more/fake/stream14.ts,1302.81
m3u8,output/more/fake/stream.m3u8,1303.481
m3u8,output/more/fake/stream.m3u8,1303.582
ts,output/more/fake/stream15.ts,1304.196
m3u8,output/more/fake/stream.m3u8,1304.581
ts,output/more/fake/stream14.ts,1304.63
m3u8,output/more/fake/stream.m3u8,1304.671
m3u8,output/more/fake/stream.m3u8,1305.656
m3u8,output/more/fake/stream.m3u8,1305.764
ts,output/more/fake/stream15.ts,1305.997
ts,output/more/fake/stream16.ts,1306.631
ts,output/more/fake/stream16.ts,1308.5
m3u8,output/more/fake/stream.m3u8,1309.32
m3u8,output/more/fake/stream.m3u8,1313.15
home,.,1315.35
ts,output/more/fake/stream17.ts,1316.632
m3u8,output/more/fake/stream.m3u8,1317.301
m3u8,output/more/fake/stream.m3u8,1317.464
m3u8,output/more/fake/stream.m3u8,1317.816
ts,output/more/fake/stream14.ts,1317.967
ts,output/more/fake/stream15.ts,1318.72
ts,output/more/fake/stream16.ts,1319.586
ts,output/more/fake/stream18.ts,1319.706
